Transactions for FY,2021
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-02-09 06:34:57,XBT,"Fee for Sold 0.0015 BTC/ZAR @ 718,019",S048,,,,,,,4.31
2021-02-09 06:34:57,XBT,"Fee for Sold 0.0015 BTC/ZAR @ 718,019",S048,,,,,,,0.71
2021-02-09 06:34:57,XBT,"Sold 0.002488 BTC/ZAR @ 718,003",S049,d0d10841,-0.00248800,720102.00,1791.61,1786.39,-5.22,0.00
2021-02-09 06:34:57,XBT,"Fee for Sold 0.002488 BTC/ZAR @ 718,003",S049,,,,,,,1.43
2021-02-09 06:51:29,XBT,"Fee for Bought 0.01 BTC/ZAR @ 729,004",,,,,,,,7.28
2021-02-09 06:52:51,XBT,"Sold 0.009981 BTC/ZAR @ 729,915",S050,d0d10841,-0.00004854,720102.00,34.95,35.43,0.48,0.00
2021-02-09 06:52:51,XBT,"Sold 0.009981 BTC/ZAR @ 729,915",S050,d8253356,-0.00993246,729004.00,7240.80,7249.85,9.05,0.00
2021-02-09 06:52:51,XBT,"Fee for Sold 0.009981 BTC/ZAR @ 729,915",S050,,,,,,,6.56
2021-02-09 06:57:35,XBT,"Fee for Bought 0.005 BTC/ZAR @ 736,395",,,,,,,,3.67
2021-02-09 08:17:07,XBT,"Sold 0.00429 BTC/ZAR @ 721,000",S051,d8253356,-0.00006754,729004.00,49.24,48.70,-0.54,0.00
2021-02-09 08:17:07,XBT,"Sold 0.00429 BTC/ZAR @ 721,000",S051,ffa6f8e7,-0.00422246,736394.00,3109.39,3044.39,-65.00,0.00
2021-02-09 08:17:08,XBT,"Sold 0.0005 BTC/ZAR @ 721,000",S052,ffa6f8e7,-0.00050000,736394.00,368.20,360.50,-7.70,0.00
2021-02-09 08:17:10,XBT,"Sold 0.000201 BTC/ZAR @ 721,000",S053,ffa6f8e7,-0.00020100,736394.00,148.02,144.92,-3.10,0.00
2021-02-09 08:25:16,XBT,"Sold 0.009995 BTC/ZAR @ 712,000",S054,ffa6f8e7,-0.00007654,736394.00,56.36,54.50,-1.87,0.00
2021-02-09 08:25:16,XBT,"Sold 0.009995 BTC/ZAR @ 712,000",S054,85df450c,-0.00991846,730000.00,7240.48,7061.94,-178.53,0.00
2021-02-18 07:05:19,XRP,Fee for Bought 119.00 XRP/ZAR @ 8.39,,,,,,,,0.99
2021-02-20 04:03:31,XBT,"Sold 0.001193 BTC/ZAR @ 838,000",S055,85df450c,-0.00008154,730000.00,59.52,68.33,8.81,0.00
2021-02-20 04:03:31,XBT,"Sold 0.001193 BTC/ZAR @ 838,000",S055,240cd3d5,-0.00111146,722000.00,802.47,931.40,128.93,0.00
2021-02-20 04:03:31,XBT,"Fee for Sold 0.001193 BTC/ZAR @ 838,000",S055,,,,,,,0.83
2021-02-22 10:12:04,ETH,"Fee for Bought 0.036034 ETH/ZAR @ 27,751",,,,,,,,0.99
2021-02-22 14:19:45,XBT,"Fee for Bought 0.001324 BTC/ZAR @ 755,131",,,,,,,,0.75
