Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-22 20:46:40,XBT,"Bought 0.003 BTC/ZAR @ 822,000",B_XBT_091,7c1000a6,0.00300000,822000.00,2466.00,0.00,0.00,0.00
2021-03-22 21:02:09,XBT,"Bought 0.003 BTC/ZAR @ 813,000",B_XBT_092,51c57e7c,0.00300000,813000.00,2439.00,0.00,0.00,0.00
2021-03-22 22:04:40,LTC,"Bought 0.50 LTC/ZAR @ 2,785",B_LTC_058,3f3c4baf,0.50000000,2785.00,1392.50,0.00,0.00,0.00
2021-03-23 03:19:37,XBT,"Bought 0.003 BTC/ZAR @ 802,000",B_XBT_093,779a016f,0.00300000,802000.00,2406.00,0.00,0.00,0.00
2021-03-23 05:33:00,ETH,"Bought 0.039525 ETH/ZAR @ 25,300",B_ETH_059,5267a453,0.03952500,25299.94,999.98,0.00,0.00,0.00
2021-03-23 06:13:49,ETH,"Bought 0.20 ETH/ZAR @ 24,960",B_ETH_060,dfdaf4be,0.20000000,24960.00,4992.00,0.00,0.00,0.00
2021-03-23 06:31:12,XBT,"Bought 0.003 BTC/ZAR @ 785,000",B_XBT_094,916c8d7b,0.00300000,785000.00,2355.00,0.00,0.00,0.00
2021-03-23 06:41:21,LTC,"Bought 0.50 LTC/ZAR @ 2,729",B_LTC_059,a2e4fd54,0.50000000,2729.00,1364.50,0.00,0.00,0.00
2021-03-23 11:05:07,XBT,"Bought 0.005 BTC/ZAR @ 801,000",B_XBT_095,a7ddf429,0.00500000,801000.00,4005.00,0.00,0.00,0.00
2021-03-23 16:01:47,XRP,Bought 300.00 XRP/ZAR @ 8.42,B_XRP_029,7bf6b335,300.00000000,8.42,2526.00,0.00,0.00,0.00
2021-03-23 16:09:27,XRP,Bought 200.00 XRP/ZAR @ 8.32,B_XRP_030,d7dcbf1f,200.00000000,8.32,1664.00,0.00,0.00,0.00
