"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-05-06 21:45:32","BNBBTC","BUY","0.011219","0.12BNB","0.00134628BTC","0.00009BNB"
"2021-05-06 21:35:24","DOGEBTC","BUY","0.0000104","154DOGE","0.0016016BTC","0.00010719BNB"
"2021-05-03 20:19:24","ZILBTC","BUY","0.00000376","202ZIL","0.00075952BTC","0.00004874BNB"
"2021-05-02 01:14:30","DGBBTC","BUY","0.0000026","587DGB","0.0015262BTC","0.00010683BNB"
"2021-05-01 09:15:55","TRXBTC","BUY","0.00000223","240TRX","0.0005352BTC","0.00003763BNB"
"2021-05-01 08:05:51","WINBNB","BUY","0.00000215","23720WIN","0.050998BNB","0.00003824BNB"
"2021-05-01 07:09:55","BNBBTC","BUY","0.010829","0.01BNB","0.00010829BTC","0.0000075BNB"
"2021-05-01 07:01:46","BNBBTC","BUY","0.010837","0.05BNB","0.00054185BTC","0.0000375BNB"
"2021-05-01 06:54:28","TFUELBTC","BUY","0.00000626","100TFUEL","0.000626BTC","0.1TFUEL"
"2021-05-01 06:43:54","AVAXBTC","BUY","0.00059702","1AVAX","0.00059702BTC","0.001AVAX"
"2021-05-01 06:24:32","DGBBTC","BUY","0.00000289","146DGB","0.00042194BTC","0.146DGB"
"2021-04-23 02:22:26","DOGEBTC","BUY","0.00000345","84DOGE","0.0002898BTC","0.084DOGE"
"2021-04-23 00:07:34","SCBTC","BUY","0.00000065","446SC","0.0002899BTC","0.446SC"
"2021-04-20 06:43:43","SCBTC","BUY","0.00000071","591SC","0.00041961BTC","0.591SC"
"2021-04-18 05:34:31","NULSBTC","BUY","0.00003296","6NULS","0.00019776BTC","0.006NULS"
"2021-04-18 05:29:19","NULSBTC","BUY","0.00003596","3NULS","0.00010788BTC","0.003NULS"
"2021-04-18 02:17:38","TROYBTC","BUY","0.00000048","400TROY","0.000192BTC","0.4TROY"
"2021-04-17 18:33:43","FTMBTC","BUY","0.00000851","36FTM","0.00030636BTC","0.036FTM"
"2021-04-17 17:51:22","DOGEBTC","BUY","0.00000448","23DOGE","0.00010304BTC","0.023DOGE"
"2021-04-17 12:24:15","DOGEBTC","BUY","0.00000422","98DOGE","0.00041356BTC","0.098DOGE"
"2021-04-17 09:52:01","TROYBTC","BUY","0.00000056","1000TROY","0.00056BTC","1TROY"
"2021-04-17 09:50:52","BATBTC","BUY","0.00002474","5BAT","0.0001237BTC","0.005BAT"
"2021-04-17 09:50:51","BATBTC","BUY","0.00002474","5BAT","0.0001237BTC","0.005BAT"
"2021-04-17 09:23:34","DGBBTC","BUY","0.00000231","300DGB","0.000693BTC","0.3DGB"
"2021-04-17 09:10:51","SCBTC","BUY","0.00000093","500SC","0.000465BTC","0.5SC"
