Financial Year,Coin,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2022,LTC,10d320b0,in_buy_6a4f16fa0d01f2,0.48829757,2902,1417.03954814,2946.9967802820028866,1439.011366609525924259765562,21.971818469525924259765562,,0
FY2022,XRP,10fd8f03,in_buy_fc23ac4bf85efa,99.629,7.85,782.08765,8.56,852.82424,70.73659,,0
FY2022,XRP,10fd8f03,in_buy_bdd638871229b3,100.371,7.31,733.71201,8.56,859.17576,125.46375,,0
FY2022,ETH,1109b84a,in_buy_cc5d4253306bcb,0.008076,24139.8913699456849728,194.9537627036813518403328,26059.9306587419514611,210.4599999999999999998436,15.5062372963186481595108,,0
FY2022,ETH,126ff679,in_buy_b82dbbc0553bee,0.0106666,53500,570.6631,34968,372.9896688,-197.6734312,,0
FY2022,ETH,126ff679,in_buy_0aed052eb9a9e0,0.03,51895,1556.85,34968,1049.04,-507.81,,0
FY2022,ETH,126ff679,in_buy_cd9af9b38a6925,0.0093334,50900,475.07006,34968,326.3703312,-148.6997288,,0
FY2022,ETH,130c4b04,in_buy_ca6409870b115d,0.000027,26679.9893276414087513,0.7203597118463180362851,26666.6666666666666667,0.7200000000000000000009,-0.0003597118463180362842,,0
FY2022,XRP,15ff60a4,in_buy_8e7db53e252045,69,23.01,1587.69,21.15,1459.35,-128.34,,0
FY2022,XRP,161217aa,in_buy_29039c504c4231,114.346,17.01,1945.02546,24.98,2856.36308,911.33762,,0
FY2022,XRP,161217aa,in_buy_5788cfbeb91e76,35.654,17.51,624.30154,24.98,890.63692,266.33538,,0
FY2022,XBT,1659dcde,in_buy_a26796b4b10cc6,0.000684,815994.152046783625731,558.140000000000000000004,647998.3108108108108108,443.2308445945945945945872,-114.9091554054054054054168,,0
FY2022,XBT,1659dcde,in_buy_17d48f09f4d28c,0.00102712,815998.1905910735826297,838.128061519903498190617464,647998.3108108108108108,665.572024999999999999988896,-172.556036519903498190628568,,0
FY2022,XBT,1659dcde,in_buy_1f986f377a4f86,0.00184088,851000,1566.58888,647998.3108108108108108,1192.887130405405405405385504,-373.701749594594594594614496,,0
FY2022,XBT,1662fdcc,in_buy_d15dc6135a840e,0.002,671000,1342,880085,1760.17,418.17,,0
FY2022,LTC,1757dbf8,in_buy_d6b1e2115ff8f0,0.0123,3439.9862353750860289,42.31183069511355815547,3044.7154471544715447,37.44999999999999999981,-4.86183069511355815566,,0
FY2022,XBT,182e1ef1,in_buy_947830bbe52ab9,0.0015,818000,1227,846153.3333333333333333,1269.22999999999999999995,42.22999999999999999995,,0
FY2022,XBT,18a18465,in_buy_54553bd2dc669c,0.005,851000,4255,578000,2890,-1365,,0
FY2022,XBT,19727548,in_buy_3e9473321c2149,0.00021154,884200,187.043668,886530.9090909090909091,187.536748509090909090911014,0.493080509090909090911014,,0
FY2022,XBT,19727548,in_buy_a3e0c3d521f66c,0.004,863000,3452,886530.9090909090909091,3546.1236363636363636364,94.1236363636363636364,,0
FY2022,XBT,19727548,in_buy_fa59961bce5cd0,0.00128846,844000,1087.46024,886530.9090909090909091,1142.259615127272727272738986,54.799375127272727272738986,,0
FY2022,XBT,1987e5b0,in_buy_50e4f250f6523d,0.00214746,678100,1456.192626,848550,1822.227183,366.034557,,0
FY2022,XBT,1987e5b0,in_buy_0af0f416aa357f,0.00085254,685100,584.075154,848550,723.422817,139.347663,,0
FY2022,ETH,19eb7ede,in_buy_b26773d1d4709c,0.047801,20919.8552331541181147,999.9900000000000000007747,25400,1214.1454,214.1553999999999999992253,,0
FY2022,ETH,19eb7ede,in_buy_ea270bf7672a97,0.03845034,20699.8695895174812147,795.917023672607588648827998,25400,976.638636,180.721612327392411351172002,,0
FY2022,ETH,19eb7ede,in_buy_b2a936481a1a83,0.045871,21799.8299579254866909,999.9799999999999999982739,25400,1165.1234,165.1434000000000000017261,,0
FY2022,ETH,19eb7ede,in_buy_ac5584eaf2d85e,0.046838,21349.9722447585293992,999.9899999999999999997296,25400,1189.6852,189.6952000000000000002704,,0
FY2022,ETH,19eb7ede,in_buy_5a5a0289569fed,0.02103966,22102.913222227134079,465.03777920516334379657314,25400,534.407364,69.36958479483665620342686,,0
FY2022,XBT,1a760656,in_buy_5d7a60421bee14,0.00081546,801000,653.18346,825000,672.7545,19.57104,,0
FY2022,XBT,1a760656,in_buy_6e1f8b464a5983,0.005,801000,4005,825000,4125,120,,0
FY2022,XBT,1a760656,in_buy_c03ba98052164f,0.003,785000,2355,825000,2475,120,,0
FY2022,XBT,1a760656,in_buy_6263b64db0dc50,0.00118454,802000,950.00108,825000,977.2455,27.24442,,0
FY2022,XRP,1aaa3867,in_buy_c16c62afca3af6,47,18.02,846.94,19.6,921.2,74.26,,0
FY2022,XRP,1b5c2d6c,in_buy_c56e94dc6fd47f,5,19.7,98.5,20.56,102.8,4.3,,0
FY2022,ETH,1c51d999,in_buy_6658557b75be54,0.05,25501,1275.05,25251,1262.55,-12.5,,0
FY2022,ETH,1d9a14b0,in_buy_e44c1adf2e8407,0.03035834,32100,974.502714,43178.8591302279956006,1310.838486287565767961519004,336.335772287565767961519004,,0
