Sales for FY,2022
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2021-03-19 11:50:38,XBT,S131,ba3528ca,-0.00211346,852000.00,1800.67,1858.81,58.14
2021-03-19 11:50:38,XBT,S132,ba3528ca,-0.00168000,852000.00,1431.36,1477.57,46.21
2021-03-19 11:50:38,XBT,S133,ba3528ca,-0.00000300,852000.00,2.56,2.63,0.07
2021-03-19 11:50:38,XBT,S134,ba3528ca,-0.00000100,852000.00,0.85,0.87,0.02
2021-03-19 12:04:55,XBT,S135,ba3528ca,-0.00120254,852000.00,1024.56,1063.05,38.48
2021-03-19 12:04:55,XBT,S135,3e5a4352,-0.00579746,851000.00,4933.64,5124.95,191.32
2021-03-20 04:07:48,ETH,S136,1fcb23ee,-0.03394066,24005.00,814.75,933.57,118.83
2021-03-20 04:07:48,ETH,S136,99361d0a,-0.10000000,23600.00,2360.00,2750.60,390.60
2021-03-20 04:07:48,ETH,S136,308e3006,-0.06605934,23200.00,1532.58,1817.03,284.45
2021-03-20 07:12:44,XBT,S137,3e5a4352,-0.00020254,851000.00,172.36,177.74,5.38
2021-03-20 07:12:44,XBT,S137,3bee711e,-0.00016146,842000.00,135.95,141.69,5.74
2021-03-20 07:12:47,XBT,S138,3bee711e,-0.00284900,842000.00,2398.86,2500.16,101.30
2021-03-20 07:12:48,XBT,S139,3bee711e,-0.00198954,842000.00,1675.19,1745.94,70.74
2021-03-20 07:12:48,XBT,S139,a990fe79,-0.00179746,860000.00,1545.82,1577.37,31.56
2021-03-20 07:32:10,XRP,S140,b2970fe4,-25.88100000,8.19,211.97,186.86,-25.10
2021-03-20 07:32:10,XRP,S140,29935c61,-123.00000000,8.09,995.07,888.06,-107.01
2021-03-20 07:32:10,XRP,S140,876ae495,-118.11900000,8.01,946.13,852.82,-93.31
2021-03-20 07:32:33,XRP,S141,876ae495,-5.88100000,8.01,47.11,42.46,-4.65
2021-03-20 07:32:33,XRP,S141,061ba263,-114.00000000,7.91,901.74,823.08,-78.66
2021-03-20 07:32:33,XRP,S141,0be69527,-12.00000000,7.91,94.92,86.64,-8.28
2021-03-20 07:32:33,XRP,S141,0a6d68d7,-123.00000000,8.11,997.53,888.06,-109.47
